2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: div.buttons a
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: div.buttons a
2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: div.buttons a
2023-06-21 19:28:09 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: div.buttons a]
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: div.header-links li:nth-of-type(2) a
2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: div.header-links li:nth-of-type(2) a
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: div.header-links li:nth-of-type(2) a
2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: div.header-links li:nth-of-type(2) a
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: div.header-links li:nth-of-type(2) a
2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: div.header-links li:nth-of-type(2) a
2023-06-21 19:28:09 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: div.header-links li:nth-of-type(2) a]
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: #Email
2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: #Email
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: #Email
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: #Email
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: #Email
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: #Email
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: #Password
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: #Password
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: #Password
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: #Password
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: #Password
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: #Password
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: div.returning-wrapper>form div.buttons button
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: div.returning-wrapper>form div.buttons button
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: div.returning-wrapper>form div.buttons button
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: div.returning-wrapper>form div.buttons button
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: div.returning-wrapper>form div.buttons button
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: div.returning-wrapper>form div.buttons button
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>a
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>a
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>a
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>a
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>a
2023-06-21 19:28:10 INFO  TestBase:93 - Found Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>a
2023-06-21 19:28:10 INFO  TestBase:87 - Finding Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>ul:first-of-type li:nth-of-type(2) a
2023-06-21 19:28:11 INFO  TestBase:93 - Found Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>ul:first-of-type li:nth-of-type(2) a
2023-06-21 19:28:11 INFO  TestBase:87 - Finding Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>ul:first-of-type li:nth-of-type(2) a
2023-06-21 19:28:11 INFO  TestBase:93 - Found Element: By.cssSelector: ul.notmobile>li:nth-of-type(2)>ul:first-of-type li:nth-of-type(2) a
2023-06-21 19:28:11 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: ul.notmobile>li:nth-of-type(2)>ul:first-of-type li:nth-of-type(2) a]
2023-06-21 19:28:11 INFO  TestBase:87 - Finding Element: By.cssSelector: div.item-grid>div:nth-of-type(2) h2:first-of-type a
2023-06-21 19:28:11 INFO  TestBase:93 - Found Element: By.cssSelector: div.item-grid>div:nth-of-type(2) h2:first-of-type a
2023-06-21 19:28:11 INFO  TestBase:87 - Finding Element: By.cssSelector: div.item-grid>div:nth-of-type(2) h2:first-of-type a
2023-06-21 19:28:11 INFO  TestBase:93 - Found Element: By.cssSelector: div.item-grid>div:nth-of-type(2) h2:first-of-type a
2023-06-21 19:28:12 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: div.item-grid>div:nth-of-type(2) h2:first-of-type a]
2023-06-21 19:28:12 INFO  TestBase:87 - Finding Element: By.cssSelector: div.add-to-cart-panel #add-to-cart-button-19
